344	686	388	702	298	914	968	844	600	
446	842	344	824	826	806	730	588	844	
266	560	624	832	856	104	606	966	738	
746	312	350	922	334	890	894	610	652	
544	256	912	200	600	114	958	580	424	
308	530	180	468	144	474	528	914	272	
832	612	102	524	354	180	708	400	476	
348	594	358	698	618	556	460	732	266	


486	372	394	370	542	506	188	178	716	
268	378	772	784	432	462	494	740	292	
936	140	102	334	810	644	430	746	936	
508	952	954	192	142	880	522	508	116	
986	148	368	128	546	498	836	394	836	
936	838	438	662	394	852	788	262	314	
824	872	762	740	352	316	840	588	130	
708	716	144	184	360	224	862	360	570	


772	372	764	636	886	676	352	734	526	
422	856	616	692	524	918	626	908	392	
618	664	860	774	258	566	466	282	608	
748	808	222	524	588	914	856	580	760	
602	968	522	956	528	618	552	720	846	
332	164	512	286	190	532	672	598	310	
200	366	212	622	502	988	840	238	564	
778	164	442	500	450	824	782	138	180	


904	506	358	322	214	792	828	582	818	
744	562	830	386	904	870	774	392	730	
306	430	748	866	942	308	756	560	606	
488	244	134	362	606	936	816	270	662	
404	170	160	580	298	786	438	586	352	
592	284	832	468	618	198	802	668	398	
748	104	288	736	560	878	962	102	382	
214	824	604	980	242	276	170	942	334	


684	828	250	740	638	924	288	624	788	
364	322	150	990	312	870	390	400	172	
140	150	758	912	752	588	286	662	658	
260	166	654	100	974	702	978	478	646	
774	990	314	298	492	572	702	992	308	
662	238	274	522	474	612	968	532	714	
752	854	844	490	402	618	588	934	576	
322	404	682	824	142	128	902	906	764	


